#rAB	ET
0.1	7.74841
0.2	2.7408
0.3	1.08464
0.4	0.274615
0.5	-0.193198
0.6	-0.488376
0.7	-0.68449
0.8	-0.818832
0.9	-0.912396
1	-0.977924
1.1	-1.02359
1.2	-1.05488
1.3	-1.07558
1.4	-1.08838
1.5	-1.09525
1.6	-1.09762
1.7	-1.09658
1.8	-1.09296
1.9	-1.08738
2	-1.08032
2.1	-1.07218
2.2	-1.06323
2.3	-1.05372
2.4	-1.04382
2.5	-1.03369
2.6	-1.02343
2.7	-1.01314
2.8	-1.00289
2.9	-0.992739
3	-0.982728
3.1	-0.972896
3.2	-0.963269
3.3	-0.953869
3.4	-0.944713
3.5	-0.935812
3.6	-0.927176
3.7	-0.918809
3.8	-0.910717
3.9	-0.902899
4	-0.895357
4.1	-0.888088
4.2	-0.881091
4.3	-0.874361
4.4	-0.867895
4.5	-0.861688
4.6	-0.855733
4.7	-0.850025
4.8	-0.844558
4.9	-0.839325
5	-0.834319
5.1	-0.829533
5.2	-0.824959
5.3	-0.82059
5.4	-0.816419
5.5	-0.812439
5.6	-0.808642
5.7	-0.80502
5.8	-0.801567
5.9	-0.798275
6	-0.795137
6.1	-0.792146
6.2	-0.789296
6.3	-0.786581
6.4	-0.783992
6.5	-0.781526
6.6	-0.779175
6.7	-0.776934
6.8	-0.774798
6.9	-0.77276
7	-0.770817
7.1	-0.768962
7.2	-0.767192
7.3	-0.765502
7.4	-0.763888
7.5	-0.762345
7.6	-0.76087
7.7	-0.759459
7.79999	-0.758109
7.89999	-0.756816
7.99999	-0.755577
8.09999	-0.754389
8.2	-0.75325
8.3	-0.752157
8.4	-0.751107
8.5	-0.750098
8.6	-0.749128
8.7	-0.748195
8.8	-0.747296
8.9	-0.74643
9	-0.745594
9.1	-0.744789
9.2	-0.744011
9.3	-0.743259
9.4	-0.742533
9.5	-0.74183
9.6	-0.741149
9.7	-0.74049
9.8	-0.739851
9.9	-0.739232
